Sign Index,,,
,Traffic Controller (Symbolic),T1-34B T1-34A,"1200 x 900
900 x 600"
,Stop Here When Directed,T1-35B T1-35A,"1200 x 900
900 x 600"
,Grader Ahead,T1-4A,900 x 600
,Workers (Symbolic),T1-5A T1-5B,"900 x 600
1200 x 900"
,Detour Ahead,T1-6B T1-6A,"1800 x 900
1200 x 600"
,Next 'x' km,T1-SA102,1200 x 300
,Speed Limit Changed Ahead (3 lines),T1-SA103A T1-SA103B,"1200 x 750
1800 x 1170"
,Speed Limit / Changed Ahead hinged,T1-SA104B T1-SA104A,"1500 x 750
1200 x 600"
,Advance Notice Traffic Signals Switch On (time and date),T1-SA105,1500 x 900
,Event Ahead Speed Limit Changed (optionally hinged),T1-SA106,1200 x 900
,Speed Limit Changed to be used with R4-1 or R4-10 ONLY (maximum use 2 months. If a longer time is required refer to Tech. Services),T1-SA109A T1-SA109C T1-SA109B,"450 x 450
900 x 900
600 x 600"
,Traffic Accident Ahead,T1-SA11,1200 x 900
,Heavy Vehicle Detour Ahead,T1-SA112,900 x 600
,Heavy Vehicle Detour (variable direction arrows),T1-SA113,900 x 600
,Detour For Heavy Vehicles (L or R),T1-SA114,2100 x 600
,Signals Not Operating (Refer OI 3.16),T1-SA116B T1-SA116A,"900 x 720
750 x 600"
,Caution Vehicle Frequently Stopping (Vehicle Mounted sign),T1-SA117,1350 x 750
,Signals Not Operating (used at pedestrian facility Refer OI 3.16),T1-SA118,160 x 210
,Signals Operating Ahead,T1-SA119B T1-SA119A,"1200 x 900
900 x 675"
,Workers With Speed Limit 25,T1-SA120B T1-SA120A,"1800 x 900
1200 x 600"
,Narrow Lanes Over Bridge,T1-SA121,1200 x 900
,Left Lane Ends 'x' km Ahead,T1-SA122,1200 x 750
,'x' km Ahead (used with T2-6-1),T1-SA123,1200 x 300
,Road Closed Ahead,T1-SA134,600 x 800
,Linemarking Changed Ahead,T1-SA143,1200 x 750
,Tram Works Ahead (advice to tram drivers only),T1-SA144,600 x 800
,Bridgework Ahead (3 lines narrow format),T1-SA2,900 x 1200
,Changed Traffic Conditions (Install for 3 Months max,T1-SA23D T1-SA23C T1-SA23AA T1-SA23B T1-SA23A,"900 x 600
750 x 500
300 x 200
600 x 400
450 x 300"
,Road Plant Next 'x' km,T1-SA26,1800 x 600
,Workers (Symbolic),T1-SA5,600 x 800
,Fuel Spill Ahead,T1-SA50,1200 x 900
,Event Ahead [Reduce Speed],T1-SA51,1500 x 900
,Grader Ahead Rocks On Road Next 'x' km,T1-SA66A,900 x 600
,Event Ahead,T1-SA67D T1-SA67A T1-SA67C T1-SA67B,"1200 x 750
450 x 300
800 x 500
600 x 400"
,Water Over Road,T2-13B T2-13A,"1200 x 900
900 x 600"
,End Roadwork (2 line),T2-16A,1800 x 600
,End Roadwork (3 lines),T2-17AA T2-17A,"600 x 800
900 x 1200"
,End Detour,T2-23,1200 x 600
,Two Way Traffic (Symbolic),T2-24,900 x 600
,Trucks ( Crossing or Entering)(Symbolic),T2-25,900 x 600
,Road Closed (previously black/yellow - may be used until 31 December 2021),T2-4,1800 x 300
,Lane Status (2 Lanes),T2-6-1A T2-6-1B,"1200 x 900
1800 x 1200"
,Lane Status (3 Lanes),T2-6-2A T2-6-2B,"1800 x 900
2400 x 1200"
,2 Lane Status (reverse curve),T2-6-SA101,1200 x 900
,3 Lane Status (2 reverse curves),T2-6-SA102,1800 x 900
,3 Lane Status,T2-6-SA103,1800 x 900
,3 Lanes Status,T2-6-SA104,1800 x 900
,Lane Status Left Lanes Blocked Right Thru Median,T2-6-SA106,1200 x 900
,3 Lane Status (With Right Turn),T2-6-SA107,1800 x 900
,3 Lane Status (narrow format),T2-6-SA108,900 x 900
,2 Lane Status (narrow format),T2-6-SA109,900 x 900
,3 Lane Status (2 Reverse curves thru median),T2-6-SA110,1200 x 1350
,2 Lane Status (with right turn),T2-6-SA117,1200 x 900
,4 Lane Status (with left / right turns),T2-6-SA118,1500 x 900
,2 Lanes Status,T2-6-SA119,1800 x 900
,4 lanes status,T2-6-SA120,1500 x 900
,4 Lanes Status,T2-6-SA3,1800 x 900
,Track Closed,T2-SA101,1350 x 600
,Bridge Closed,T2-SA102,1800 x 300
,Bridgework on Side Road (3 lines),T2-SA103,900 x 900
,End Event,T2-SA104B T2-SA104A,"600 x 400
450 x 300"
,Do not queue over driveways,T2-SA105A,600 x 600
,Bridge Closed,T2-SA106,1200 x 300
,"Farm Machinery (Approval required for use - refer to Manager, Traffic Services, DPTI)",T2-SA109,900 x 600
,End Bridgework (3 lines),T2-SA54,900 x 1200
,New Work No Lines Marked,T3-11,1500 x 900
,No Lines Do Not Overtake Unless Safe,T3-12,1500 x 900
,Gravel Road,T3-13A T3-13B,"900 x 600
1500 x 900"
,Loose Surface,T3-14A T3-14B,"900 x 600
1500 x 900"
,Bicycle Path Rough Surface,T3-15,600 x 450
,Advisory Speed 'xx' km/h (2 line),T3-16-1A T3-16-1B,"600 x 600
900 x 900"
,Advisory Speed 'xx' km/h (1 line),T3-16-2B T3-16-2A,"1500 x 600
900 x 400"
,Slippery (Symbolic),T3-3B T3-3A,"1500 x 900
900 x 600"
,Soft Edges,T3-6B T3-6A,"1500 x 900
900 x 600"
,Rough Surface,T3-7A T3-7B,"900 x 600
1500 x 900"
,Loose Stones (Symbolic),T3-9A T3-9B,"900 x 600
1500 x 900"
,End Blasting Area,T4-3AA T4-3A,"1200 x 450
1800 x 600"
,Powerline Works In Progress,T4-5,1800 x 900
,Smoke Hazard,T4-6B T4-6A,"1200 x 900
900 x 600"
,Blasting Area Switch Off Radio Transmitters And Mobile Phones,T4-7,1200 x 900
,Vertical Chevron Marker (Temporary),T4-SA101,150 x 900
,Road Plates in Use,T4-SA108,600 x 800
,Rat Collection Point,T4-SA109,1200 x 930
,Detour > (L or R or S),T5-1A T5-1B,"1200 x 300
1800 x 450"
,Temporary Hazard Marker,T5-4,1500 x 450
,Temporary Hazard Marker,T5-5,600 x 600
,"Detour Marker (L, R or S)",T5-6,600 x 600
,Temporary Hazard Marker,T5-7,250 x 1200
,Driveway Access,T5-SA101,900 x 600
,Bi-directional Temporary Hazard Marker,T5-SA5,1200 x 600
,Temporary Post Mounted Delineator for Star Dropper,T5-SA52,125 x 170
,School Bus,T6-4,1200 x 230
,Pilot Vehicle Do Not Overtake (Vehicle Mounted),T6-5A T6-5B,"1000 x 350
1200 x 500"
,Pilot Vehicle In Use (Vehicle Mounted),T6-6B T6-6A,"1200 x 900
900 x 600"
,Linemarking (temporary hazard marker) (L&R),T6-SA1,1000 x 600
,"Survey Vehicle (Refer to Traffic Operations Section, DPTI
)",T6-SA109,800 x 600
,SLOW bat (use on back of R6-8 STOP),T7-1A T7-1B,"450 x 450
600 x 600"
,Pedestrians Watch Your Step,T8-1,900 x 600
,Pedestrians (L or R),T8-2,1200 x 300
,Use Other Footpath,T8-3,900 x 600
,Footpath Closed,T8-4,900 x 600
,Look Both Ways Two-Way Traffic,T8-5,900 x 600
,Shared Path Closed,T8-SA103,900 x 600
,Temporary Advance Notice Sign (advising of Road or Bridgeworks or Community Events),TES13004A TES13004B,"1400 x 1650
1400 x 1950"
,Railway Crossing Position With Target Board Stop Look For Trains,TES 13908(1),750 x 1800
,Remember 50 Unless Otherwise Signed,TES15342,1200 x 1050
,"SA Government Black Spot Project Sign (install at
project commencement / remove at project completion)",TES15567B TES15567A,"900 x 1200
600 x 900"
,"SA Government Funded Project Sign (only projects
>$500,000 / install at project commencement / remove at project completion)",TES17031B TES17031A,"3000 x 2000
1800 x 1200"
,Keep Track Tracks Clear Xm,TES 18383,1400 x 1800
,"Drive on Left (not to be used on road network, property & carpark exits only)",TES18546,450 x 600
,Cross Road Intersection (Unsealed Road Only),TES18903,750 x 750
,For Roadwork Enquiries Phone (Multi-Message Sign ONLY),TES18977,1200 x 900
,Speed Limit Changed Warning Sign,TES19085,750 x 450
,Red Light & Speed Camera Ahead (< 80 km/h),TES19687,1350 x 1200
,Red Light & Speed Camera Ahead (>= 80 km/h),TES19688,1950 x 1650
,Speed Camera Ahead (< 80 km/h),TES19689,1350 x 1200
,Speed Camera Ahead (>= 80 km/h),TES19690,1950 x 1650
,Speed Limits Apply 40 On Beach 25 Within 50m of a Person - See OI 4.12 for use.,TES20179,1350 x 900
,Stock on Road,TES6396,900 x 600
,Advance Notice - Roadworks Commencing,TES9571,1350 x 1050
,Grain Trucks Crossing (O.I .2.24),TES9899,1350 x 900
,Lane Status (Multi-Message Sign ONLY),TM10-10A,600 x 600
,Lane Status (Multi-Message Sign ONLY),TM10-11A,600 x 600
,Lane Status (Multi-Message Sign ONLY),TM10-12A,600 x 600
,Lane Status (Multi-Message Sign ONLY),TM10-13A,600 x 600
,Lane Status (Multi-Message Sign ONLY),TM10-14A,600 x 600
,Lane Status (Multi-Message Sign ONLY),TM10-15A,600 x 600
,Lane Status (Multi-Message Sign ONLY),TM10-16A,600 x 600
,Lane Status - Through Median (Multi-Message Sign ONLY) (Replaces T2-SA6-3M),TM10-17A,600 x 600
,Lane Through Ahead (Multi-Message Sign ONLY) (Replaces T2-SA6-1M),TM10-1A,600 x 600
,Lane Closed Ahead (Multi-Message Sign ONLY) (Replaces T2-SA6-2M),TM10-2A,600 x 600
,Left Lane of Two Lane Closed (Multi-Message Sign ONLY) (Replaces T2-6-1M),TM10-3A,600 x 600
,Right Lane of Two Lane Closed (Multi-Message Sign ONLY),TM10-4A,600 x 600
,Two Lanes Ahead (Multi-Message Sign ONLY),TM10-5A,600 x 600
,Two Lanes Closed Ahead (Multi-Message Sign ONLY),TM10-6A,600 x 600
,Lane Status (Multi-Message Sign ONLY),TM10-7A,600 x 600
,Lane Status (Multi-Message Sign ONLY),TM10-8A,600 x 600
,Lane Status (Multi-Message Sign ONLY),TM10-9A,600 x 600
,Merge Left (Multi-Message Sign ONLY),TM10-SA111A,600 x 600
,Merge Right (Multi-Message Sign ONLY),TM10-SA112A,600 x 600
,Lateral Shift Left - 2 Lanes (Multi-Message Sign ONLY),TM10-SA113A,600 x 600
,Lateral Shift Right - 2 Lanes (Multi-Message Sign ONLY),TM10-SA114A,600 x 600
,Merge Left - Right Lane (Multi-Message Sign ONLY),TM10-SA115A,600 x 600
,Merge Right - Left Lane (Multi-Message Sign ONLY),TM10-SA116A,600 x 600
,Lane Status - Through Arrow - Narrow,TM10-SA117A,300 x 600
,Lane Status - Lane Ends - Narrow,TM10-SA118A,300 x 600
,Lane Status - Right - Narrow,TM10-SA119A,300 x 600
,Lane Status - Left - Narrow,TM10-SA120A,300 x 600
,Lane Status - Right Through - Narrow,TM10-SA121A,300 x 600
,Lane Status - Through Left - Narrow,TM10-SA122A,300 x 600
,2 Lanes Status (Multi-Message Sign ONLY),TM10-SA14C,1200 x 600
,Traffic Hazard (Multi-Message Sign ONLY),TM1-10A,600 x 600
,Traffic Hazard (Multi-Message Sign ONLY),TM1-10C,1200 x 600
,Prepare to Stop (Multi-Message sign ONLY),TM1-18A,600 x 600
,Prepare To Stop (Multi-Message Sign ONLY),TM1-18B,1200 x 300
,Roadwork Ahead (Multi-Message Sign ONLY),TM1-1A,600 x 600
,Roadwork Ahead (Multi-Message Sign ONLY) (Replaces T1-1M),TM1-1B,1200 x 300
,Roadwork Ahead (Multi-Message Sign ONLY),TM1-1C,1200 x 600
,Roadwork On Side Road (Multi-Message Sign ONLY),TM1-25C,1200 x 600
,Road Plant On Side Road (Multi-Message Sign ONLY),TM1-27C,1200 x 600
,Next 'xx' km (Multi-Message Sign ONLY),TM1-28A,600 x 600
,Next 'x' km (Multi-Message Sign ONLY),TM1-28B,1200 x 300
,Bridgework Ahead (Multi-Message Sign ONLY) (Replaces T1-2M),TM1-2A,600 x 600
,Bridgework Ahead (Multi-Message Sign ONLY),TM1-2C,1200 x 600
,Signals Ahead (Symbolic) (Multi-Message Sign ONLY),TM1-30A,600 x 600
,Road Plant Ahead (Multi-Message Sign ONLY) (Replaces T1-3-1M),TM1-3-1A,600 x 600
,Side Road Closed (Multi-Message Sign ONLY),TM1-32A,600 x 600
,Road Plant Ahead (Multi-Message Sign ONLY),TM1-3-2C,1200 x 600
,Traffic Controller (Symbolic) (Multi-Message Sign ONLY),TM1-34A,600 x 600
,Stop Here When Directed (Multi-Message Sign ONLY),TM1-35C,1200 x 600
,'x' km Ahead (Multi-Message Sign ONLY),TM1-36B,1200 x 300
,Surveyors Ahead (Multi-Message Sign ONLY),TM1-37C,1200 x 600
,Road Hump Ahead (Multi-Message Sign ONLY) (Replaces T1-SA129M),TM1-38A,600 x 600
,Signal Works Ahead (Multi-Message Sign ONLY),TM1-39A,600 x 600
,Line Marking Ahead (Multi-Message Sign ONLY),TM1-40A,600 x 600
,Mowing Ahead (Multi-Message Sign ONLY),TM1-41A,600 x 600
,Tram Works Ahead (Multi-Message Sign ONLY),TM1-42A,600 x 600
,Road Closed Ahead (Multi-Message Sign ONLY) (Replaces T1-SA134M),TM1-43A,600 x 600
,Road Closed Ahead (Multi-Message Sign ONLY),TM1-43C,1200 x 600
,Burning Off Ahead (Multi-Message Sign ONLY),TM1-44A,600 x 600
,Burning Off Ahead (Multi-Message Sign ONLY),TM1-44C,1200 x 600
,Traffic Incident Ahead (Multi-Message Sign ONLY),TM1-45A,600 x 600
,Burning Off Ahead (Multi-Message Sign ONLY),TM1-45C,1200 x 600
,Queued Traffic Ahead (Multi-Message Sign ONLY),TM1-46A,600 x 600
,Queued Traffic Symbol (Multi-Message Sign ONLY),TM1-47A,600 x 600
,Road Side Hazard (Multi-Message Sign ONLY),TM1-49A,600 x 600
,Grader Ahead (Multi-Message Sign ONLY) (Replaces T1- 4M),TM1-4A,600 x 600
,Watch For Wandering Animals (Multi-Message Sign ONLY),TM1-50A,600 x 600
,Ahead (Multi-Message Sign ONLY),TM1-51B,1200 x 300
,Workers (Symbolic) (Multi-Message Sign ONLY),TM1-5A,600 x 600
,Workers (Symbolic) (Multi-Message Sign ONLY),TM1-5C,1200 x 600
Sign Image,Sign Code,Description,Size (W x H)
,Detour Ahead (Multi-Message Sign ONLY),TM1-6A,600 x 600
,Detour Ahead (Multi-Message Sign ONLY),TM1-6B,1200 x 300
,Traffic Hazard (Multi-Message Sign ONLY),TM1-SA10B,1200 x 300
,'xxx' m Ahead (Multi-Message Sign ONLY),TM1-SA140B,1200 x 300
,Merge 'xxx' m Ahead (Multi-Message Sign ONLY),TM1-SA141B,1200 x 300
,Bicycle Detour Ahead,TM1-SA145A,600 x 600
,Drive Carefully (Multi-Message Sign ONLY),TM1-SA147B,1200 x 300
,Expect Delays 'xx' min (Multi-Message Sign ONLY),TM1-SA149A,600 x 600
,Use Alt Route (Multi-Message Sign ONLY),TM1-SA150A,600 x 600
,End Roadwork (Multi-Message Sign ONLY),TM2-17A,600 x 600
,End Roadwork,TM2-17B,1200 x 300
,End Roadwork (Multi-Message Sign ONLY),TM2-17C,1200 x 600
,End Detour (Multi-Message Sign ONLY),TM2-23C,1200 x 600
,Two Way Traffic Lane Status (Multi-Message Sign ONLY),TM2-24A,600 x 600
,Trucks (Symbolic) (Multi-Message Sign ONLY),TM2-25A,600 x 600
,Roadwork (Multi-Message Sign ONLY),TM2-26A,600 x 600
,Roadwork (Multi-Message Sign ONLY),TM2-26B,1200 x 300
,Roadwork (Multi-Message Sign ONLY),TM2-26C,1200 x 600
,Bridgework (Multi-Message Sign ONLY),TM2-27A,600 x 600
,Bridgework (Multi-Message Sign ONLY),TM2-27B,1200 x 300
,Bridgework (Multi-Message Sign ONLY),TM2-27C,1200 x 600
,End Bridgework (Multi-Message Sign ONLY),TM2-28A,600 x 600
,Trenching Works (Multi-Message Sign ONLY) (Replaces T4-SA104-2M),TM2-29A,600 x 600
,Trenching Works (Multi-Message Sign ONLY) (Replaces T4-SA104-1M),TM2-29B,1200 x 300
,Mowing (Multi-Message Sign ONLY),TM2-30B,1200 x 300
,Litter Collection (Multi-Message Sign ONLY) (Replaces T4-SA106-2M),TM2-31A,600 x 600
,Litter Collection (Multi-Message Sign ONLY) (Replaces T4-SA106-1M),TM2-31B,1200 x 300
,Utility Repairs (Multi-Message Sign ONLY) (Replaces T4- SA102-2M),TM2-32A,600 x 600
,Utility Repairs (Multi-Message Sign ONLY) (Replaces T4- SA102-1M),TM2-32B,1200 x 300
,Emergency Works (Multi-Message Sign ONLY) (Replaces T4-SA103-2M),TM2-33A,600 x 600
,Emergency Works (Multi-Message Sign ONLY) (Replaces T4-SA103-1M),TM2-33B,1200 x 300
,Survey Works (Multi-Message Sign ONLY) (Replaces T1- SA110M),TM2-34A,600 x 600
,Surveyors (Multi-Message Sign ONLY),TM2-35B,1200 x 300
,Road Plates In Use (Multi-Message Sign ONLY) (Replaces T4-SA108-2M),TM2-36A,600 x 600
,Road Plates In Use (Multi-Message Sign ONLY) (Replaces T4-SA108-1M),TM2-36C,1200 x 600
,Powerline Works (Multi-Message Sign ONLY),TM2-37A,600 x 600
,Powerline Works (Multi-Message Sign ONLY),TM2-37C,1200 x 600
,On Ramp (Multi-Message Sign ONLY),TM2-38A,600 x 600
,On Ramp (Multi-Message Sign ONLY),TM2-38B,1200 x 600
,Merge Left (Multi-Message Sign ONLY),TM2-39A,600 x 600
,Merge Left (Multi-Message Sign ONLY),TM2-39B,1200 x 300
,Merge Right (Multi-Message Sign ONLY),TM2-40A,600 x 600
,Merge Right (Multi-Message Sign ONLY),TM2-40B,1200 x 300
,Local Access Only (Multi-Message Sign ONLY),TM2-41A,600 x 600
,Slow Moving Vehicle (Multi-Message Sign ONLY),TM2-42A,600 x 600
,Changed Traffic Conditions (Multi-Message Sign ONLY),TM2-44A,600 x 600
,Oversize Vehicle (Multi-Message Sign ONLY),TM2-45A,600 x 600
,Heavy Vehicles (Multi-Message Sign ONLY),TM2-46A,600 x 600
,High Vehicles (Multi-Message Sign ONLY),TM2-47A,600 x 600
,Signals Not Operating Symbolic (Multi-Message Sign ONLY),TM2-48A,600 x 600
,Signals Not In Use (Multi-Message Sign ONLY),TM2-49A,600 x 600
,Road Closed (Multi-Message Sign ONLY) (previously black/yellow - may be used until 31 December 2021),TM2-4B,1200 x 300
,Road Closed (Multi-Message Sign ONLY) (previously black/yellow - may be used until 31 December 2021),TM2-4C,1200 x 600
,Signals Under Repair (Multi-Message Sign ONLY),TM2-50A,600 x 600
,Road Hump (Multi-Message Sign ONLY) (Replaces T1- SA130M),TM2-51A,600 x 600
,Boom Barrier (Multi-Message sign ONLY) (Replaces T1- SA146M),TM2-52A,600 x 600
,Keep Tracks Clear (Multi-Message Sign ONLY) (Replaces T1-SA124M),TM2-53A,600 x 600
,Tram Only (Multi-Message Sign ONLY) (Replaces T1- SA142M),TM2-54A,600 x 600
,Tram Works (Multi-Message Sign ONLY),TM2-55A,600 x 600
,End Tram Works (Multi-Message sign ONLY) (Replaces T2-SA55M),TM2-56A,600 x 600
,For Roadwork Enquiries (Multi-Message Sign ONLY),TM2-57C,1200 x 600
,Driveway Access (Multi-Message Sign ONLY),TM2-SA101A,600 x 600
,End (Multi-Message Sign ONLY),TM2-SA106A,600 x 600
,End (Multi-Message Sign ONLY),TM2-SA106C,1200 x 600
,Road Inspection (Multi-Message Sign ONLY),TM2-SA107A,600 x 600
,Road Inspection (Multi-Message Sign ONLY),TM2-SA107B,1200 x 300
,Weed Control (Multi-Message Sign ONLY),TM2-SA110A,600 x 600
,Weed Control (Multi-Message Sign ONLY),TM2-SA110B,1200 x 300
,Tree Planting (Multi-Message Sign Only),TM2-SA111A,600 x 600
,Tree Planting (Multi-Message Sign Only),TM2-SA111B,1200 x 300
,Business And Residential Traffic Only,TM2-SA112A,600 x 600
,Do not queue over driveways,TM2-SA113A,600 x 600
,Do not queue over driveways,TM2-SA114,1200 x 600
,Road Closed (Multi-Message Sign ONLY) (previously black/yellow - may be used until 31 December 2021),TM2-SA4A,600 x 600
,New Work No Lines Marked (Multi-Message Sign ONLY),TM3-11C,1200 x 600
,No Lines Do Not Overtake Unless Safe (Multi-Message Sign ONLY),TM3-12C,1200 x 600
,Gravel Road (Multi-Message Sign ONLY),TM3-13A,600 x 600
,Gravel Road (Multi-Message Sign ONLY),TM3-13B,1200 x 300
,Loose Surface (Multi-Message Sign ONLY),TM3-14A,600 x 600
,Loose Surface (Multi-Message Sign ONLY),TM3-14B,1200 x 300
,'xx' km/h (Multi-Message Sign ONLY),TM3-16-1A,600 x 600
,No Lines (Multi-Message Sign ONLY),TM3-17A,600 x 600
,Line Marking (Multi-Message Sign ONLY),TM3-18A,600 x 600
,Line Marking (Multi-Message Sign ONLY),TM3-18B,1200 x 300
,Loose Stones (Multi-Message Sign ONLY),TM3-19B,1200 x 600
,Wet Bitumen (Multi-Message Sign ONLY),TM3-20A,600 x 600
,Water Over Road (Multi-Message Sign ONLY),TM3-21A,600 x 600
,Due To Flooding (Multi-Message Sign ONLY),TM3-22B,1200 x 300
,Fallen Rocks (Multi-Message Sign ONLY),TM3-23B,1200 x 600
,Road Flooded (Multi-Message Sign ONLY),TM3-24A,600 x 600
,Deep Edge Drop (Multi-Message Sign ONLY) (Replaces T3-SA101-2M),TM3-25A,600 x 600
,Slippery (Multi-Message Sign ONLY),TM3-3A,600 x 600
,Soft Edges (Multi-Message Sign ONLY),TM3-6A,600 x 600
,Soft Edges (Multi-Message Sign ONLY),TM3-6B,1200 x 300
,Rough Surface (Multi-Message Sign ONLY),TM3-7A,600 x 600
,Rough Surface (Multi-Message Sign ONLY),TM3-7B,1200 x 300
,Loose Stones (Symbolic) (Multi-Message Sign ONLY),TM3-9A,600 x 600
,Wet Paint On Road (Multi-Message Sign ONLY),TM3-SA101C,1200 x 600
,Deep Edge Drop (Symbolic) (Multi-Message Sign ONLY) refer TES16542 for larger size,TM3-SA102A,600 x 600
,Road Surfacing (Multi-Message Sign ONLY),TM3-SA103A,600 x 600
,Road Surfacing (Multi-Message Sign ONLY),TM3-SA103B,1200 x 300
,Kerbing Repairs (Multi-Message Sign ONLY),TM3-SA104A,600 x 600
,Kerbing Repairs (Multi-Message Sign ONLY),TM3-SA104B,1200 x 300
,New Surface (Multi-Message Sign ONLY),TM3-SA105B,1200 x 300
,No Lines Marked (Multi-Message Sign ONLY),TM3-SA106A,600 x 600
,No Lines Marked (Multi-Message Sign ONLY),TM3-SA106B,1200 x 300
,No Lines Marked (Multi-Message Sign ONLY),TM3-SA106C,1200 x 600
,Deep Edge Drop (Multi-Message Sign ONLY),TM3-SA25B,1200 x 300
,Hazardous Material (Multi-Message Sign ONLY),TM4-10A,600 x 600
,End Blasting Area (Multi-Message Sign ONLY),TM4-3C,1200 x 600
,Powerline Works In Progress (Multi-Message Sign ONLY),TM4-5C,1200 x 600
,Smoke Hazard (Multi-Message Sign ONLY) (Replaces T4- 6M),TM4-6A,600 x 600
,Smoke Hazard (Multi-Message Sign ONLY),TM4-6B,1200 x 600
,UHF Channel (Multi-Message Sign ONLY),TM4-8A,600 x 600
,UHF Channel (Multi-Message Sign ONLY) (Replaces T1- SA148M),TM4-8B,1200 x 300
,Bush Fire (Multi-Message Sign ONLY),TM4-9A,600 x 600
,Bush Fire (Multi-Message Sign ONLY),TM4-9B,1200 x 300
,Covid-19 Testing (Multi-Message Sign ONLY),TM4-SA101A,600 x 600
,DAMAGED BARRIER (Multi-Message Sign ONLY),TM4-SA109A,600 x 600
,DAMAGED BARRIER (Multi-Message Sign ONLY),TM4-SA109B,1200 x 300
,Prescribed Burn (Multi-Message Sign ONLY),TM4-SA112B,1200 x 300
,COVID-19 TESTING QUEUES,TM4-SA113A,600 x 600
,COVID-19 TRAFFIC ONLY,TM4-SA114A,600 x 600
,No queuing for covid-19 testing,TM4-SA115A,600 x 900
,Rat Collection Point,TM4-SA116C,1200 x 600
,Rat pick up point,TM4-SA117A,600 x 600
,On Side Road L/R (Multi-Message Sign ONLY),TM5-10B,1200 x 300
,Detour For Heavy Vehicles L/R (Multi-Message Sign ONLY),TM5-11C,1200 x 600
,Detour For High Vehicles L/R (Multi-Message Sign ONLY),TM5-12C,1200 x 600
,< Detour (Multi-Message Sign ONLY) (Left or Right or Straight),TM5-1B,1200 x 300
,Detour Marker (Multi-Message Sign ONLY),TM5-6A,600 x 600
,Detour (Multi-Message Sign ONLY),TM5-7A,600 x 600
,Detour (Multi-Message Sign ONLY),TM5-7B,1200 x 300
,Horizontal Arrow (Multi-Message Sign ONLY),TM5-8B,1200 x 300
,On Side Road (Multi-Message Sign ONLY) (Replaces T1- 25-2M),TM5-9A,600 x 600
,On Side Road (Multi-Message Sign ONLY) (Replaces T1- 25-1M),TM5-9B,1200 x 300
,Bicycle Detour,TM5-SA101A,600 x 600
,Bicycle Detour,TM5-SA102A,600 x 600
,Proceed When Clear (Multi-Message Sign ONLY),TM5-SA103B,1200 x 300
,Narrow Footpath Ahead (Multi-Message Sign ONLY),TM8-10A,600 x 600
,Path Closed Ahead,TM8-11A,600 x 600
,Path Closed (Multi-Message Sign ONLY),TM8-12A,600 x 600
,Pedestrian Hazard (Multi-Message Sign ONLY) (Replaces T8-SA101-2M),TM8-13A,600 x 600
,Pedestrian Hazard (Multi-Message Sign ONLY) (Replaces T8-SA101-1M),TM8-13B,1200 x 300
,Cycling Hazard (Multi-Message Sign ONLY) (Replaces T1-SA132-2M),TM8-14A,600 x 600
,Cycling Hazard (Multi-Message Sign ONLY) (Replace T1- SA132-1M),TM8-14B,1200 x 300
,Bicycle Lane Closed Ahead,TM8-15A,600 x 600
,Bicycle Lane Closed (Multi-Message Sign ONLY),TM8-16A,600 x 600
,Symbolic Bicycle Ahead (Multi-Message Sign ONLY),TM8-17A,600 x 600
,Symbolic Bicycle (Multi-Message Sign ONLY),TM8-18A,600 x 600
,Accessible Path and Pedestrian Path (Multi-Message Sign ONLY),TM8-19C,1200 x 600
,Pedestrians Watch Your Step (Multi-Message Sign ONLY),TM8-1C,1200 x 600
,Accessible Path (Multi-Message Sign ONLY),TM8-20B,1200 x 300
,Pedestrians (Multi-Message Sign ONLY),TM8-2B,1200 x 300
,Use Other Footpath (Multi-Message Sign ONLY),TM8-3A,600 x 600
,Footpath Closed (Multi-Message Sign ONLY),TM8-4A,600 x 600
,Look Both Ways Two-Way Traffic (Multi-Message Sign ONLY),TM8-5C,1200 x 600
,Look Both Ways (Multi-Message Sign ONLY),TM8-6A,600 x 600
,Watch Your Step (Multi-Message Sign ONLY),TM8-7A,600 x 600
,Symbolic Pedestrians (Multi-Message Sign ONLY),TM8-8A,600 x 600
,Footpath Closed Ahead (Multi-Message Sign ONLY),TM8-9A,600 x 600
,Footpath Repairs (Multi-Message Sign ONLY),TM8-SA102A,600 x 600
,Footpath Repairs (Multi-Message Sign ONLY),TM8-SA102B,1200 x 300
,Bikeway / Bicycle Path Closed,TM8-SA110A,600 x 600
,Bicycle End Detour,TM8-SA111A,600 x 600
,Pedestrian Wait Here (Multi-Message Sign ONLY),TM8-SA112A,600 x 600
,Pedestrians,TM8-SA2A,600 x 600
,Footpath Closed (Multi-Message Sign ONLY),TM8-SA4B,1200 x 300
,Event Ahead (Multi-Message Sign ONLY) (Replaces T1- SA67-2M),TM9-1A,600 x 600
,Event Ahead (Multi-Message Sign ONLY) (Replaces T1- SA67-1M),TM9-1B,1200 x 300
,End Event (Multi-Message Sign ONLY) (Replaces T2- SA104-2M),TM9-2A,600 x 600
,End Event (Multi-Message Sign ONLY) (Replaces T2- SA104-1M),TM9-2B,1200 x 300
,Event in Progress (Multi-Message Sign ONLY) (Replaces T2-SA105-2M),TM9-3A,600 x 600
,Event in Progress (Multi-Message Sign ONLY) (Replaces T2-SA105-1M),TM9-3B,1200 x 300
,Event on Side of Road (Multi-Message Sign ONLY),TM9-4C,1200 x 600
,Event On Side Road L/R (Multi-Message Sign ONLY),TM9-5B,1200 x 300
